beta	cpg
0.00680120959991516	cg00001583
0	cg00001747
0	cg00001793
0	cg00002749
0.00214245588431693	cg00002769
0.0311469791362717	cg00002837
0.0404963872945027	cg00004082
0	cg00005740
0	cg00008647
0	cg00008800
0	cg00009292
0	cg00010954
0	cg00013441
0	cg00015530
0	cg00015699
0	cg00017826
-0.00334825013567021	cg00018128
0	cg00019654
0	cg00021600
-0.0449929856524821	cg00022997
0	cg00025496
-0.0767285574937343	cg00026974
0	cg00027570
0	cg00028211
0	cg00028678
0	cg00028935
0	cg00030291
-0.00644604515806515	cg00031105
0	cg00031896
-0.11932875888601	cg00033551
0	cg00035316
0	cg00037223
0	cg00037457
0	cg00038736
0.0639232402490796	cg00039463
0	cg00040312
0.00496055991189398	cg00040862
0	cg00041047
0	cg00041599
-0.0124416027661031	cg00044796
0	cg00048178
-0.0810165784026392	cg00048832
0	cg00049033
0	cg00049664
0	cg00049729
0	cg00052433
0	cg00052482
0	cg00054210
0	cg00054472
0	cg00056066
0	cg00059053
0	cg00059161
0	cg00059399
0	cg00060374
-0.00683091788328169	cg00068412
0	cg00068428
0	cg00070899
-0.142083968723587	cg00078221
0	cg00079216
0	cg00079785
0	cg00084338
0	cg00086297
0	cg00089154
0	cg00089486
-0.00155428409761466	cg00090619
0	cg00090737
0	cg00091633
0	cg00093544
0	cg00094063
0	cg00094518
0	cg00094734
0	cg00096810
0	cg00098175
0	cg00098799
0	cg00098819
0	cg00099976
0	cg00104348
0	cg00106345
0	cg00106744
0	cg00107241
0	cg00109451
0	cg00109764
0	cg00110171
0	cg00112465
0	cg00113194
-0.269410713559332	cg00114008
0	cg00116058
0	cg00116430
0	cg00116554
0	cg00121465
0	cg00123762
0	cg00129563
0	cg00130223
-0.373684424766747	cg00135497
0	cg00139947
0.0210161825886748	cg00142266
0	cg00142402
0.0116641109114797	cg00143364
0	cg00143809
0	cg00145911
0	cg00147788
0	cg00147976
0	cg00150128
0.0630832476481114	cg00151191
0	cg00151571
0.00154445377260685	cg00152008
0	cg00154902
0	cg00156118
0	cg00156569
-0.00313486983134667	cg00156964
0	cg00157179
0	cg00158539
0.0113108002135107	cg00159243
0	cg00159523
0	cg00160818
0.00529415106802948	cg00163372
-0.0985608240787858	cg00164335
0.00108734878582465	cg00164716
0	cg00164941
0.00219645323468632	cg00166216
-0.00426877404396993	cg00166722
0.00577856726713827	cg00166836
0	cg00170236
-0.0103475988926032	cg00172376
0	cg00172603
0	cg00172803
-0.00815059515416228	cg00176863
0	cg00176888
0	cg00178864
0	cg00178984
0	cg00180684
-0.0568208704417012	cg00186462
0	cg00186529
0	cg00192275
-0.00390100685731462	cg00193283
