beta	cpg
0	cg00001583
0.0049609481505218	cg00001747
0.00305830479967001	cg00001793
0	cg00002749
0	cg00002769
0	cg00002837
0	cg00004082
0	cg00005740
0	cg00008647
-0.00264894115918414	cg00008800
0.0427747471796559	cg00009292
0.0748263184791526	cg00010954
-0.113507881347175	cg00013441
-0.00496624908864892	cg00015530
0.00293691377937791	cg00015699
0	cg00017826
0.0132911689467111	cg00018128
-0.00647000753639025	cg00019654
0	cg00021600
0	cg00022997
0	cg00025496
-0.00599086842597819	cg00026974
0	cg00027570
0.0019199227609119	cg00028211
0	cg00028678
0.189198290406319	cg00028935
0.00322753742905299	cg00030291
0	cg00031105
0	cg00031896
0	cg00033551
0.035239039285031	cg00035316
0	cg00037223
0	cg00037457
-0.00252153458368089	cg00038736
0	cg00039463
0	cg00040312
-0.11361371282295	cg00040862
0.0448867699326451	cg00041047
0.058164689527488	cg00041599
0.0169907523400637	cg00044796
0	cg00048178
0.559030456339771	cg00048832
0.00646706032363497	cg00049033
0	cg00049664
-0.0059762394366927	cg00049729
-0.114531527498106	cg00052433
-0.181370297139456	cg00052482
0	cg00054210
-0.0394943335081968	cg00054472
-0.0100979408482536	cg00056066
0	cg00059053
-0.0376641722654221	cg00059161
-0.0256736819466603	cg00059399
0	cg00060374
0.024194660121839	cg00068412
0.021012270200566	cg00068428
-0.000157085520945243	cg00070899
-0.0660058645221762	cg00078221
0	cg00079216
0	cg00079785
0	cg00084338
-0.0148476056705992	cg00086297
0	cg00089154
0	cg00089486
0	cg00090619
-0.0396675316670803	cg00090737
-0.079177980898645	cg00091633
-0.00913929826425895	cg00093544
0	cg00094063
-0.0190068640435568	cg00094518
0	cg00094734
0.0163542071303344	cg00096810
0	cg00098175
0.0135486143253952	cg00098799
0	cg00098819
0	cg00099976
0	cg00104348
0	cg00106345
0	cg00106744
0	cg00107241
0	cg00109451
0	cg00109764
0	cg00110171
-0.0669191644181662	cg00112465
0	cg00113194
0	cg00114008
0.111500703745068	cg00116058
-0.00191398273514731	cg00116430
-0.0211966587145648	cg00116554
-0.000173046260379047	cg00121465
0	cg00123762
0	cg00129563
0	cg00130223
0	cg00135497
0.148664786052284	cg00139947
0.00961419709057077	cg00142266
0	cg00142402
0	cg00143364
0.102967942721898	cg00143809
0	cg00145911
0.159109254222454	cg00147788
0	cg00147976
0	cg00150128
-0.0133172580151035	cg00151191
-0.285409242037362	cg00151571
-0.241091520324025	cg00152008
-0.00962074327070302	cg00154902
0	cg00156118
0.171783841605865	cg00156569
0.010856342951628	cg00156964
0.0279267784556362	cg00157179
0	cg00158539
0	cg00159243
0.0226968114082563	cg00159523
-0.180363577640347	cg00160818
0	cg00163372
0.0389232422543273	cg00164335
0.210067404930335	cg00164716
0	cg00164941
-0.00666118642380877	cg00166216
0.182564868212451	cg00166722
0	cg00166836
0.141693115834024	cg00170236
0	cg00172376
-0.00123250402367204	cg00172603
-0.00815284869126764	cg00172803
0	cg00176863
0	cg00176888
-0.00513507073141767	cg00178864
0	cg00178984
-0.0469050857644579	cg00180684
0.00154726145881969	cg00186462
0.000405626306414541	cg00186529
-0.00203297813425847	cg00192275
0.00393305638490856	cg00193283
0.0813113062732175	cg00194681
0.000102514611962167	cg00195828
0	cg00197313
0	cg00199007
0	cg00201595
0.00223867084988585	cg00202454
-0.00585170411501454	cg00204802
0	cg00206490
0	cg00210562
0	cg00212979
0	cg00214165
-0.0130269796221098	cg00215432
-0.0738871063878055	cg00215551
0.0684996629470717	cg00215587
-0.0106454470844542	cg00218149
-0.012008243288441	cg00220102
0.0429835177120034	cg00223136
0	cg00223863
0.000320972272991391	cg00224807
0.0170727043989673	cg00225006
-0.0224418812390765	cg00225603
0.0750931247408257	cg00228708
0	cg00230700
-0.0108708209313141	cg00231966
0	cg00233028
-0.147521283277979	cg00236302
0.0999291605646441	cg00238848
0	cg00239353
0	cg00241002
-0.00519488935686599	cg00241076
0.019303606014718	cg00241712
0	cg00242020
-0.0436470848526643	cg00242561
-0.0507952965664531	cg00243281
0	cg00244634
-0.00773127557844739	cg00244745
-0.149434090351265	cg00247571
-0.185559948237202	cg00248795
-0.0232466552001111	cg00249383
0	cg00249511
0	cg00250500
0.132461783308398	cg00251610
-0.00469493011523707	cg00254258
0.0233821295507887	cg00254306
0.00732108975246051	cg00254681
0	cg00256155
0	cg00256767
0.0138626851317262	cg00258081
0	cg00260575
0.245031602613054	cg00260647
0	cg00262031
0	cg00266865
-0.138537929705913	cg00266983
0	cg00270497
0.00146149636399906	cg00270625
0	cg00270789
0	cg00270878
0	cg00271210
-0.000576917275491172	cg00273464
0	cg00274815
0	cg00274965
0	cg00277769
0	cg00281153
0	cg00281273
-0.0418512999224304	cg00281664
-0.213840677272161	cg00282249
0	cg00287096
0	cg00288376
0.00747189079624593	cg00288598
0.00417670109427846	cg00290607
0	cg00291316
-0.0256768617331876	cg00294538
-0.0116445758837454	cg00295572
-0.00455427984049743	cg00295794
0	cg00297432
0	cg00297767
0	cg00298324
0.0323788844512077	cg00299943
0	cg00299972
0	cg00300794
0.00635567883654513	cg00300879
0.00589971378445617	cg00301396
0	cg00307662
-0.0593526867667002	cg00308130
-0.206373187868738	cg00311772
0.377606396583522	cg00315391
0	cg00317879
-0.0324934413856189	cg00318320
0.308188722084023	cg00318643
0	cg00319567
0	cg00324223
0.0533781713444633	cg00325528
-0.0460867681929456	cg00326131
0	cg00329748
-0.00526482292647986	cg00329943
0	cg00332155
-0.0580628302989496	cg00332802
-0.0030516530938236	cg00333843
0.00714039294810021	cg00333985
0	cg00335715
-0.00581216194482122	cg00339556
0	cg00339769
0.195574653173963	cg00341843
0	cg00342358
-0.00197384605795315	cg00343839
-0.0540458252622318	cg00344443
0	cg00345230
0.371131408073273	cg00346256
0	cg00346623
-0.00817655321520846	cg00347563
0	cg00349061
0.0144998416072111	cg00349607
0.048045824199971	cg00349895
-0.0195277506197662	cg00353773
-0.0713482975611516	cg00355019
-0.0148425141905409	cg00355286
0	cg00355613
0	cg00356811
0	cg00357958
0	cg00358220
0	cg00360761
0.00296896543687552	cg00361562
0	cg00362657
0	cg00366413
0.00808749277146704	cg00366505
0.0678048720536515	cg00366917
0	cg00368989
0.0847284887985369	cg00369151
0	cg00369414
-0.00198028065167457	cg00370047
0.0116275448366628	cg00370926
0	cg00375146
-0.143695161204864	cg00375430
0.0275166808513152	cg00376544
-0.0460164027767456	cg00378510
0.000188645674570977	cg00379080
0	cg00379648
0.0349980752026856	cg00380172
0	cg00381442
0.0209204461960807	cg00384539
0	cg00386405
-0.168456687835075	cg00386702
0	cg00388871
0	cg00390484
0	cg00390694
0	cg00394830
0	cg00400262
0	cg00400992
0.0789009872203763	cg00401433
0	cg00401552
0.00360299048549984	cg00405939
-0.00370084304644105	cg00406022
-0.0167151809924121	cg00406211
0	cg00406369
0.0225836420058331	cg00409696
-0.115633772950164	cg00411447
0.000269832178566245	cg00411945
0	cg00414384
0	cg00415665
0.0888413657285511	cg00416747
0	cg00417421
0	cg00422918
0	cg00423153
0	cg00423702
0	cg00424677
0.00986095604129518	cg00426486
-0.0735966314976714	cg00428457
0	cg00429497
-0.000618372712513878	cg00430613
0	cg00432041
0.0546987289042941	cg00433296
-0.0241866488886529	cg00433917
0	cg00436174
-0.0718487894970054	cg00437311
0	cg00437432
0.026747737649433	cg00438215
0	cg00439706
0	cg00441899
0	cg00446123
0.00591933966201644	cg00447018
0	cg00447052
-0.000904334091423521	cg00447817
0	cg00447970
0	cg00448707
0	cg00449812
0	cg00450617
0	cg00451058
0	cg00451642
0	cg00452882
0.00161220817333313	cg00458927
-0.0105884769770262	cg00463561
-0.00322833807167077	cg00463982
0	cg00467592
0	cg00468846
0.00356432560398282	cg00469395
0	cg00470007
0	cg00470641
-0.0670109077049341	cg00472277
0	cg00472445
-0.00839412839991274	cg00472801
-0.0971323434217687	cg00473294
0	cg00474734
0.0152992746770014	cg00476243
0	cg00480356
-0.0132745616777971	cg00481259
0	cg00482020
0	cg00482162
-0.00759194964310219	cg00482898
0	cg00486611
-0.00202143712836675	cg00491180
0.015377404470278	cg00491210
-0.0611925681362158	cg00491927
-0.0201830060663649	cg00493304
-0.00289173392447638	cg00494761
0.00331407553759787	cg00495860
-0.0303878456668789	cg00496036
0	cg00498024
0	cg00502509
0.0674792519684775	cg00504457
0	cg00505606
-0.00772573707812257	cg00505936
-0.00603746071203827	cg00507154
0.112079171821564	cg00507414
0	cg00509431
-0.0374686385007928	cg00509996
0	cg00510330
0.0496274471360273	cg00512454
0	cg00513735
0.016249648356683	cg00513981
0.0390484684538239	cg00514609
-0.0755541377010174	cg00514665
-0.223792614450965	cg00515457
0.102411666551298	cg00516030
0	cg00521048
-0.000280007991789814	cg00522231
0.0234344214997345	cg00523224
0	cg00524561
-0.0196077317328402	cg00524708
0	cg00525681
0	cg00526336
0	cg00529697
0.000151392167927418	cg00532474
0.00455062300678609	cg00532492
-0.00647861645499854	cg00533340
-0.0515884150311947	cg00534492
0.25169137494505	cg00535576
-0.0114983680373643	cg00538591
0	cg00539908
0	cg00539976
0	cg00542224
0	cg00543073
0.219064522644377	cg00544449
0	cg00546808
-0.00211750784905905	cg00547077
0	cg00547777
0.011724735649533	cg00548296
0.0114473146374866	cg00548708
0.0566077079477674	cg00549574
0	cg00550498
0	cg00550554
-0.0805429373957423	cg00552235
0.00425372241505759	cg00552753
0	cg00553487
-0.00700893785468292	cg00557236
0	cg00558215
-0.0266544127949018	cg00563824
0	cg00564190
-0.00860016513593816	cg00564737
0	cg00564759
0.0706610694079887	cg00565932
0.0741282959587518	cg00565991
0	cg00566297
0	cg00569091
0	cg00569276
0	cg00571339
0.012445885587794	cg00573770
0	cg00577182
0	cg00578039
0	cg00579868
0.0747461598133641	cg00581482
0	cg00581979
0.0146638439027202	cg00582524
0	cg00583426
0	cg00583861
-0.0224796359283911	cg00584238
-0.0636666227060704	cg00584636
-0.00201752569709185	cg00586527
0.0146377437015077	cg00586537
-0.000187807357083021	cg00590063
0.0103070066300307	cg00590260
-0.0118103374616148	cg00590324
0.0890089876892534	cg00591160
0.0733077085057893	cg00591781
0	cg00591868
-0.0016106218784629	cg00592643
-0.0722768661806919	cg00593536
0	cg00593900
0	cg00594040
0	cg00594854
-0.000226946240450882	cg00595212
0	cg00598335
0	cg00599812
-0.00371693712137338	cg00601042
0	cg00602115
0	cg00606900
-0.214492103188909	cg00607797
0.126583766570194	cg00608169
-0.11748142465782	cg00609367
0	cg00610508
0	cg00610577
0.00144187358687676	cg00613752
0	cg00614959
-0.0161539425202115	cg00616687
-0.00119585782035257	cg00619126
-0.0380178146127465	cg00620452
0.0059937637248433	cg00621943
0.00575673638962375	cg00622170
0.087850460921826	cg00623328
-0.0171979602091283	cg00624589
-0.00520520834239184	cg00624617
-0.00206060226870631	cg00626312
0.0263526359915701	cg00627029
0.318951964807364	cg00627045
0	cg00628877
-0.179917555081772	cg00630212
0	cg00631482
0	cg00631837
-0.14939173833436	cg00632560
0	cg00632657
0	cg00632914
-0.200084909152308	cg00635674
-0.000181134207486912	cg00636427
0	cg00639286
0.0182427225893944	cg00639837
0.0031479471132044	cg00642460
-0.0684866349366437	cg00643111
-0.00165157350777412	cg00643311
0	cg00643333
0.0660465868990159	cg00644351
0	cg00645593
-0.0610251086677713	cg00647658
0	cg00648686
0	cg00649211
-0.138854899658104	cg00650361
0	cg00650641
0	cg00651185
