beta	cpg
0	cg00001583
0	cg00001747
0	cg00001793
0	cg00002749
0	cg00002769
0	cg00002837
0.11976987904489	cg00004082
0	cg00005740
0	cg00008647
0	cg00008800
0.00143738228674013	cg00009292
-0.00996962616495968	cg00010954
0	cg00013441
0	cg00015530
-0.00560036248962431	cg00015699
0	cg00017826
0	cg00018128
0	cg00019654
0	cg00021600
-0.0461216330446694	cg00022997
0	cg00025496
0	cg00026974
0	cg00027570
0	cg00028211
0	cg00028678
0	cg00028935
0	cg00030291
0	cg00031105
0	cg00031896
-0.0265409885943573	cg00033551
0	cg00035316
0	cg00037223
0	cg00037457
0	cg00038736
0	cg00039463
0	cg00040312
0	cg00040862
0.00286834631275947	cg00041047
0.000841171551761358	cg00041599
-0.0240318760754971	cg00044796
0	cg00048178
-0.0177818509800882	cg00048832
0	cg00049033
0.00289080174404782	cg00049664
-0.00301445503072794	cg00049729
0	cg00052433
0	cg00052482
0	cg00054210
0	cg00054472
0	cg00056066
-0.0161835464491316	cg00059053
-0.0175261049317164	cg00059161
0	cg00059399
0	cg00060374
-0.00362002361672755	cg00068412
0	cg00068428
0	cg00070899
-0.103147547292741	cg00078221
0	cg00079216
0	cg00079785
0	cg00084338
0	cg00086297
0	cg00089154
0	cg00089486
0	cg00090619
0	cg00090737
0	cg00091633
0	cg00093544
0	cg00094063
0	cg00094518
0	cg00094734
0	cg00096810
0	cg00098175
0	cg00098799
0	cg00098819
0	cg00099976
0	cg00104348
0	cg00106345
-0.00156336881567924	cg00106744
0	cg00107241
0	cg00109451
0	cg00109764
0	cg00110171
0	cg00112465
0	cg00113194
-0.0102997372633375	cg00114008
0	cg00116058
0.000681850264847914	cg00116430
0	cg00116554
0	cg00121465
0	cg00123762
-0.381994906695509	cg00129563
0	cg00130223
-0.174809810280829	cg00135497
0	cg00139947
0	cg00142266
-0.00425353087367443	cg00142402
0	cg00143364
-0.0482362704830128	cg00143809
0	cg00145911
0	cg00147788
0	cg00147976
0	cg00150128
0.00516422496756004	cg00151191
-0.00590422009864728	cg00151571
0	cg00152008
-0.000665053185801348	cg00154902
0	cg00156118
0	cg00156569
-0.0980797273331548	cg00156964
0	cg00157179
0	cg00158539
0.000788204989823999	cg00159243
0	cg00159523
0	cg00160818
0	cg00163372
0	cg00164335
0	cg00164716
-0.0117239626876417	cg00164941
0	cg00166216
0	cg00166722
0	cg00166836
0	cg00170236
-0.0107677175956618	cg00172376
0	cg00172603
-0.0146197640438213	cg00172803
0	cg00176863
0	cg00176888
0	cg00178864
0	cg00178984
0	cg00180684
-0.00516844137120115	cg00186462
0	cg00186529
0	cg00192275
-0.000689665245740269	cg00193283
0.00240332122593529	cg00194681
0	cg00195828
0	cg00197313
0	cg00199007
0	cg00201595
-0.0421829703250402	cg00202454
0	cg00204802
0	cg00206490
0	cg00210562
0.00524538713601165	cg00212979
0	cg00214165
0.00201566789629491	cg00215432
0	cg00215551
0	cg00215587
0	cg00218149
0	cg00220102
0	cg00223136
0	cg00223863
0.00401065175145998	cg00224807
0	cg00225006
0	cg00225603
0	cg00228708
0	cg00230700
0.00329166308799202	cg00231966
0	cg00233028
0.0086488757954703	cg00236302
0	cg00238848
0	cg00239353
0	cg00241002
0	cg00241076
0.0144880289971156	cg00241712
0	cg00242020
0	cg00242561
-0.00383394701952072	cg00243281
0	cg00244634
-0.0573795257908593	cg00244745
-0.0190356079656517	cg00247571
0	cg00248795
0	cg00249383
0	cg00249511
0	cg00250500
0	cg00251610
0	cg00254258
0	cg00254306
0	cg00254681
0	cg00256155
0.00259069603074515	cg00256767
0	cg00258081
-0.00203888483291883	cg00260575
0	cg00260647
0	cg00262031
0	cg00266865
0	cg00266983
0	cg00270497
0	cg00270625
0	cg00270789
0	cg00270878
-0.013693797202877	cg00271210
0	cg00273464
0	cg00274815
0	cg00274965
0	cg00277769
0	cg00281153
-0.00664707279994489	cg00281273
-0.0733886037916553	cg00281664
0	cg00282249
-0.0190619431052501	cg00287096
0	cg00288376
0.0129531739307392	cg00288598
0.00103658501214146	cg00290607
0	cg00291316
0	cg00294538
0	cg00295572
0	cg00295794
0	cg00297432
0	cg00297767
0	cg00298324
0	cg00299943
0.00928147390522806	cg00299972
0	cg00300794
0	cg00300879
0.0070733913747878	cg00301396
0.00830879266590758	cg00307662
0.0476832894843769	cg00308130
0	cg00311772
0.0638951572487533	cg00315391
-0.0360100022713851	cg00317879
0	cg00318320
0	cg00318643
0	cg00319567
-0.0249108614640065	cg00324223
0	cg00325528
0	cg00326131
0	cg00329748
0	cg00329943
-0.0504509855996058	cg00332155
-0.030880166808724	cg00332802
0	cg00333843
0	cg00333985
0	cg00335715
0	cg00339556
0	cg00339769
0	cg00341843
0	cg00342358
0	cg00343839
0	cg00344443
0	cg00345230
0	cg00346256
0	cg00346623
-0.00591668704348779	cg00347563
0	cg00349061
0.0899015519077271	cg00349607
0	cg00349895
0	cg00353773
0	cg00355019
0	cg00355286
0	cg00355613
0	cg00356811
0	cg00357958
0	cg00358220
0	cg00360761
-0.0104943710637414	cg00361562
0	cg00362657
0.0115794245154772	cg00366413
0	cg00366505
0	cg00366917
0	cg00368989
0	cg00369151
0	cg00369414
0.0124660826954138	cg00370047
0	cg00370926
0.012109871024552	cg00375146
0	cg00375430
0	cg00376544
0	cg00378510
-0.00406938050929114	cg00379080
0	cg00379648
0	cg00380172
0	cg00381442
0	cg00384539
-0.0290194065156063	cg00386405
-0.0688399416612716	cg00386702
0	cg00388871
0	cg00390484
0	cg00390694
0	cg00394830
0	cg00400262
0	cg00400992
0	cg00401433
0	cg00401552
0	cg00405939
0	cg00406022
0	cg00406211
0	cg00406369
-0.000790459756965333	cg00409696
0	cg00411447
0	cg00411945
0.000508494344130793	cg00414384
0	cg00415665
0	cg00416747
0	cg00417421
0	cg00422918
0	cg00423153
-0.00268942282864691	cg00423702
0	cg00424677
0	cg00426486
0.201589662430319	cg00428457
-0.000817327378788624	cg00429497
0.0449530900438066	cg00430613
0	cg00432041
0	cg00433296
0	cg00433917
0	cg00436174
0	cg00437311
0	cg00437432
0	cg00438215
0	cg00439706
0	cg00441899
0	cg00446123
0	cg00447018
0	cg00447052
0	cg00447817
0	cg00447970
0	cg00448707
0	cg00449812
0	cg00450617
0	cg00451058
0	cg00451642
0	cg00452882
-0.00167142370433148	cg00458927
-0.00861141289567204	cg00463561
0.000293484966315141	cg00463982
-0.0174152730243804	cg00467592
0.00964207559094789	cg00468846
0	cg00469395
0	cg00470007
0	cg00470641
0	cg00472277
0	cg00472445
0	cg00472801
0	cg00473294
0	cg00474734
0	cg00476243
0	cg00480356
0	cg00481259
0	cg00482020
0.000672381490943301	cg00482162
0	cg00482898
-0.21626344603106	cg00486611
0.00991954458075142	cg00491180
0.0907275680232578	cg00491210
0.00247332396674701	cg00491927
0	cg00493304
0	cg00494761
0	cg00495860
0	cg00496036
-0.0268077833048058	cg00498024
0	cg00502509
0	cg00504457
0	cg00505606
0	cg00505936
0	cg00507154
0	cg00507414
0	cg00509431
0	cg00509996
-0.0125447132415195	cg00510330
0	cg00512454
0	cg00513735
0	cg00513981
0	cg00514609
0.00626403924968265	cg00514665
-0.0250497759559794	cg00515457
0	cg00516030
0	cg00521048
0	cg00522231
0	cg00523224
-0.0272195010095231	cg00524561
0	cg00524708
0.0729649441350493	cg00525681
0	cg00526336
0	cg00529697
0	cg00532474
0	cg00532492
0	cg00533340
0.125882874859491	cg00534492
0	cg00535576
0	cg00538591
0	cg00539908
0	cg00539976
0	cg00542224
0	cg00543073
0	cg00544449
0	cg00546808
0	cg00547077
0	cg00547777
0.382592691017877	cg00548296
0	cg00548708
0	cg00549574
