beta	cpg
0.457013003999387	cg00001583
-0.148809761185486	cg00001747
0	cg00001793
0	cg00002749
-0.0110876277061745	cg00002769
0	cg00002837
0.157871161861619	cg00004082
0	cg00005740
0	cg00008647
0.258935192911171	cg00008800
-0.398257019284188	cg00009292
0.0563618385327675	cg00010954
0	cg00013441
-0.0020346323593277	cg00015530
-0.00265767604981971	cg00015699
0	cg00017826
-0.160594134086902	cg00018128
0	cg00019654
0.0329834972088755	cg00021600
-0.0915393983516128	cg00022997
-0.00677291667245014	cg00025496
0.0136278700969065	cg00026974
0	cg00027570
0	cg00028211
0	cg00028678
-0.01009532509481	cg00028935
0.434459324591932	cg00030291
0.359326695950108	cg00031105
-0.0290248223373266	cg00031896
0.000795214397224844	cg00033551
-0.00986613097554575	cg00035316
0.0131982907158402	cg00037223
-0.038394517239014	cg00037457
0.00456858595437755	cg00038736
-0.240242348257681	cg00039463
-0.0477933609277305	cg00040312
-0.0619416784274863	cg00040862
0	cg00041047
-0.0297151076310776	cg00041599
0.00337070324532677	cg00044796
0.102674613892159	cg00048178
0	cg00048832
0	cg00049033
0	cg00049664
0.148452751744515	cg00049729
0	cg00052433
-0.0583347013306747	cg00052482
0.0017523295536797	cg00054210
-0.0198767446817227	cg00054472
-0.0487281368378615	cg00056066
0.177560629687898	cg00059053
0.0962826172336559	cg00059161
-0.066398966336332	cg00059399
0.0498913985558879	cg00060374
0	cg00068412
0.000380201477147663	cg00068428
0	cg00070899
0.0569163455067782	cg00078221
-0.0471259154356071	cg00079216
-0.0443468856310672	cg00079785
0.0296368192062852	cg00084338
0	cg00086297
0	cg00089154
0.088139640622268	cg00089486
0	cg00090619
0.159815360708809	cg00090737
0.00201302881322454	cg00091633
0	cg00093544
0.00943873561992773	cg00094063
0.0133926836555507	cg00094518
0	cg00094734
0.0955883954407664	cg00096810
-0.231183665726866	cg00098175
0.0560942709108747	cg00098799
0	cg00098819
0.0559895507013039	cg00099976
-0.219957611885728	cg00104348
0	cg00106345
0	cg00106744
-0.002987221208807	cg00107241
0.48745388115253	cg00109451
0	cg00109764
-0.04819058555569	cg00110171
0.0130966545420342	cg00112465
-0.00204679080154396	cg00113194
0	cg00114008
0.0485944901239552	cg00116058
0	cg00116430
0.0500232941125257	cg00116554
0.0282412255988114	cg00121465
0	cg00123762
-0.0240277767259433	cg00129563
0.0316721842199172	cg00130223
0.00473903713944222	cg00135497
0.0355205623350876	cg00139947
0	cg00142266
