beta	cpg
0	cg00001583
-5.59104897022018	cg00001747
0.145784075839693	cg00001793
0	cg00002749
1.00020070289323	cg00002769
-0.610298341256776	cg00002837
0	cg00004082
0	cg00005740
0	cg00008647
0	cg00008800
-0.796806019255843	cg00009292
0	cg00010954
0	cg00013441
-0.293858273265027	cg00015530
0	cg00015699
0	cg00017826
1.79283536110821	cg00018128
0	cg00019654
0	cg00021600
0	cg00022997
0	cg00025496
0	cg00026974
0	cg00027570
0	cg00028211
1.46554312088835	cg00028678
0	cg00028935
0	cg00030291
0	cg00031105
0	cg00031896
0	cg00033551
0	cg00035316
-7.52837942664711	cg00037223
0	cg00037457
0	cg00038736
0	cg00039463
0.909624275925337	cg00040312
0	cg00040862
0	cg00041047
1.24741252004331	cg00041599
0	cg00044796
0	cg00048178
0	cg00048832
0	cg00049033
0	cg00049664
-1.18507026477198	cg00049729
-0.415203739584866	cg00052433
0	cg00052482
0	cg00054210
0	cg00054472
0	cg00056066
0	cg00059053
-1.70586744197645	cg00059161
6.98472801582587	cg00059399
-0.562881675180477	cg00060374
0	cg00068412
0	cg00068428
0	cg00070899
0	cg00078221
0	cg00079216
14.7716311810178	cg00079785
0	cg00084338
0	cg00086297
0	cg00089154
10.6606135519186	cg00089486
0	cg00090619
0	cg00090737
0	cg00091633
0	cg00093544
0	cg00094063
0	cg00094518
0	cg00094734
0	cg00096810
0	cg00098175
0.890994249073124	cg00098799
0	cg00098819
0	cg00099976
0	cg00104348
0	cg00106345
0	cg00106744
0	cg00107241
0.390408745526975	cg00109451
0	cg00109764
0	cg00110171
0	cg00112465
0	cg00113194
0	cg00114008
0	cg00116058
-3.74982848275012	cg00116430
0	cg00116554
0	cg00121465
0	cg00123762
-0.0113461572699143	cg00129563
0	cg00130223
6.96962899310539	cg00135497
0	cg00139947
-7.27482705591668	cg00142266
-0.349276058866858	cg00142402
0	cg00143364
0	cg00143809
0	cg00145911
1.14171414360199	cg00147788
0	cg00147976
