beta	cpg
-0.0104980906028244	cg00001583
0	cg00001747
0	cg00001793
-0.00141535732887415	cg00002749
0	cg00002769
-0.0526120302838126	cg00002837
0	cg00004082
0.00800107884175806	cg00005740
0	cg00008647
0	cg00008800
0	cg00009292
0.0407605079982756	cg00010954
0	cg00013441
0	cg00015530
0	cg00015699
0	cg00017826
-0.00904707549306787	cg00018128
0	cg00019654
0	cg00021600
0	cg00022997
0	cg00025496
0	cg00026974
0	cg00027570
0	cg00028211
0	cg00028678
0	cg00028935
0.00739942603224997	cg00030291
0.00460626188005195	cg00031105
0	cg00031896
0.0804001272099172	cg00033551
0	cg00035316
0	cg00037223
0.00199458591322124	cg00037457
0	cg00038736
0	cg00039463
0.0046354717005304	cg00040312
-0.0112706385755556	cg00040862
0	cg00041047
0	cg00041599
0.0116962756514001	cg00044796
0	cg00048178
0	cg00048832
0	cg00049033
0	cg00049664
0.000557566776381454	cg00049729
-0.0741555644513686	cg00052433
0.0308819039689249	cg00052482
-0.0383019521905197	cg00054210
0	cg00054472
0	cg00056066
0	cg00059053
0	cg00059161
0.0604305225845782	cg00059399
0	cg00060374
0	cg00068412
-0.00148361411727152	cg00068428
0	cg00070899
0.000733038425101966	cg00078221
0	cg00079216
0.00412847325355837	cg00079785
0	cg00084338
0	cg00086297
0.00122355027915851	cg00089154
0	cg00089486
0	cg00090619
-0.0749801957573573	cg00090737
0.00089785532003721	cg00091633
0	cg00093544
0.0104735245386746	cg00094063
0.00132479398427994	cg00094518
0	cg00094734
0	cg00096810
0	cg00098175
0.0182970595643057	cg00098799
-0.0399671065497384	cg00098819
0.0126919845895305	cg00099976
-0.00302588631912827	cg00104348
0	cg00106345
0	cg00106744
0	cg00107241
0	cg00109451
0	cg00109764
0.00869046135122428	cg00110171
0	cg00112465
-0.0142615974834166	cg00113194
0	cg00114008
0	cg00116058
-0.00261455414466677	cg00116430
-0.000329840700984826	cg00116554
0	cg00121465
0.00590049676856801	cg00123762
0	cg00129563
0	cg00130223
0	cg00135497
0	cg00139947
0.0175783090422567	cg00142266
0	cg00142402
-0.00226601567063231	cg00143364
0	cg00143809
0	cg00145911
0	cg00147788
0	cg00147976
0	cg00150128
0.198254593526881	cg00151191
0	cg00151571
-0.0844298655859541	cg00152008
-0.00649460441554655	cg00154902
-0.0366024814677397	cg00156118
0	cg00156569
-0.144804916600178	cg00156964
0	cg00157179
0.00602549984475873	cg00158539
0	cg00159243
0.00770274246721168	cg00159523
0.00998044211642103	cg00160818
-0.0194992238605663	cg00163372
-0.455044907634497	cg00164335
0.00387984207639537	cg00164716
0	cg00164941
0	cg00166216
0	cg00166722
0	cg00166836
-0.0122021973477785	cg00170236
0	cg00172376
0	cg00172603
0	cg00172803
0	cg00176863
-0.0656672974312643	cg00176888
0	cg00178864
0	cg00178984
0.0902712242097709	cg00180684
0	cg00186462
0	cg00186529
0	cg00192275
0	cg00193283
0.0204515796696009	cg00194681
0	cg00195828
-0.00734116371915749	cg00197313
0	cg00199007
0	cg00201595
-0.010570257827431	cg00202454
0	cg00204802
0	cg00206490
3.84963447020862e-05	cg00210562
0	cg00212979
0	cg00214165
0.0912085307012457	cg00215432
-0.0307784532381124	cg00215551
-0.0634553988848596	cg00215587
0.00129974077386032	cg00218149
0	cg00220102
6.39200285475078e-05	cg00223136
0	cg00223863
0.00528946705549306	cg00224807
0.00488548191258217	cg00225006
0	cg00225603
0	cg00228708
0	cg00230700
6.63421963797975e-05	cg00231966
0	cg00233028
-0.0270882213093968	cg00236302
-0.00106210045841843	cg00238848
0.00112636311690062	cg00239353
0.000894834768705752	cg00241002
0	cg00241076
0.0208794319560005	cg00241712
0	cg00242020
0	cg00242561
-0.120661960929018	cg00243281
0	cg00244634
0	cg00244745
0	cg00247571
0	cg00248795
-0.00882637296388348	cg00249383
0.0275547605767833	cg00249511
0	cg00250500
0	cg00251610
-0.0988839741267421	cg00254258
0	cg00254306
0	cg00254681
0	cg00256155
0	cg00256767
0	cg00258081
0	cg00260575
0	cg00260647
-0.0190052544626958	cg00262031
-0.00969325599379013	cg00266865
0	cg00266983
0	cg00270497
0	cg00270625
-0.00121966685762519	cg00270789
0	cg00270878
0	cg00271210
0.000420842022263407	cg00273464
0	cg00274815
0	cg00274965
0	cg00277769
0	cg00281153
-0.0114027624021281	cg00281273
-0.111263911035466	cg00281664
0.0511595349331377	cg00282249
0	cg00287096
0.0521036072810445	cg00288376
0	cg00288598
0.000478672054207725	cg00290607
0.000850930125142312	cg00291316
