beta	cpg
0	cg00001583
0	cg00001747
0	cg00001793
0	cg00002749
0	cg00002769
0	cg00002837
0	cg00004082
0	cg00005740
0	cg00008647
0	cg00008800
0	cg00009292
0	cg00010207
0	cg00010954
0	cg00013441
0	cg00015530
0	cg00015699
0	cg00017826
0	cg00018128
0	cg00019654
0	cg00021600
0	cg00022997
0	cg00025197
0	cg00025496
0	cg00026974
0	cg00027570
0	cg00028211
0	cg00028678
0	cg00028935
0	cg00030291
0	cg00031105
0	cg00031896
0	cg00033551
0	cg00035316
0	cg00037223
0	cg00037457
0	cg00038736
0	cg00039463
0	cg00040312
0	cg00040862
0	cg00041047
0	cg00041599
0	cg00044796
0	cg00045967
0	cg00048178
0	cg00048832
0	cg00049033
0	cg00049664
0	cg00049729
0	cg00051885
0	cg00052433
0	cg00052482
0	cg00054210
0	cg00054472
0	cg00056066
0	cg00059053
0	cg00059161
0	cg00059399
0	cg00059664
0	cg00060374
0	cg00064218
0	cg00064733
0	cg00068412
0	cg00068428
0	cg00070899
0	cg00078197
0	cg00078221
0	cg00079216
0	cg00079785
0	cg00083700
0	cg00084338
0	cg00084669
0	cg00086297
0	cg00088264
0	cg00089154
0	cg00089486
0	cg00090619
0	cg00090737
0	cg00091633
0	cg00093544
0	cg00094063
0	cg00094518
0	cg00094734
0	cg00096810
0	cg00098175
0	cg00098799
0	cg00098819
0	cg00099976
0	cg00102886
0	cg00104348
0	cg00106345
0	cg00106744
0	cg00107241
0	cg00109451
0	cg00109764
0	cg00110171
0	cg00112465
0	cg00113194
0	cg00114008
0	cg00116058
0	cg00116430
0	cg00116554
0	cg00117536
0	cg00121465
0	cg00123762
0	cg00128883
0	cg00129563
0	cg00130223
0	cg00135497
0	cg00139947
0	cg00142266
0	cg00142402
0	cg00143364
0	cg00143809
0	cg00145911
0	cg00147788
0	cg00147976
0	cg00150128
0	cg00151191
0	cg00151571
0	cg00152008
0	cg00154902
0	cg00156118
0	cg00156569
0	cg00156964
0	cg00157179
0	cg00157722
0	cg00158539
0	cg00159243
0	cg00159523
0	cg00160818
0	cg00163372
0	cg00164335
0	cg00164716
0	cg00164941
0	cg00166216
0	cg00166722
0	cg00166836
0	cg00170236
0	cg00172376
0	cg00172603
0	cg00172803
0	cg00176863
0	cg00176888
0	cg00178864
0	cg00178984
0	cg00179014
0	cg00180684
0	cg00184593
0	cg00186462
0	cg00186529
0	cg00192275
0	cg00193283
0	cg00194681
0	cg00195828
0	cg00197313
0	cg00199007
0	cg00200526
0	cg00201595
0	cg00202454
0	cg00204802
0	cg00206490
0	cg00210562
0	cg00212979
0	cg00214165
0	cg00215432
0	cg00215551
0	cg00215587
0	cg00216116
0	cg00218149
0	cg00220102
0	cg00223136
0	cg00223863
0	cg00224807
0	cg00225006
0	cg00225603
0	cg00225905
0	cg00228708
0	cg00230700
0	cg00231966
0	cg00233028
0	cg00234462
0	cg00236302
0	cg00238848
0	cg00239353
0	cg00241002
0	cg00241076
0	cg00241712
0	cg00242020
0	cg00242561
0	cg00243281
0	cg00244634
0	cg00244745
0	cg00247571
0	cg00248795
0	cg00249383
0	cg00249511
0	cg00250500
0	cg00251610
0	cg00253555
0	cg00254258
0	cg00254306
0	cg00254681
0	cg00256155
0	cg00256767
0	cg00258081
0	cg00260575
0	cg00260647
0	cg00262031
0	cg00266865
0	cg00266983
0	cg00268953
0	cg00270497
0	cg00270625
0	cg00270789
0	cg00270878
0	cg00271210
0	cg00273464
0	cg00274815
0	cg00274965
0	cg00277769
0	cg00277827
0	cg00281153
0	cg00281273
0	cg00281664
0	cg00282249
0	cg00287096
0	cg00288376
0	cg00288598
0	cg00289485
0	cg00290607
0	cg00291136
0	cg00291316
0	cg00294538
0	cg00295572
0	cg00295794
0	cg00297432
0	cg00297767
0	cg00298324
0	cg00299943
0	cg00299972
0	cg00300794
0	cg00300879
0	cg00301396
0	cg00307662
0	cg00308130
0	cg00311772
0	cg00315391
0	cg00317879
0	cg00318320
0	cg00318643
0	cg00319567
0	cg00323535
0	cg00324223
0	cg00325212
0	cg00325528
0	cg00326131
0	cg00329748
0	cg00329943
0	cg00332155
0	cg00332802
0	cg00333843
0	cg00333985
0	cg00335715
0	cg00339556
0	cg00339769
0	cg00341843
0	cg00342358
0	cg00343839
0	cg00344443
0	cg00345230
0	cg00346256
0	cg00346623
0	cg00347563
0	cg00348968
0	cg00349061
0	cg00349607
0	cg00349895
0	cg00353773
0	cg00355019
0	cg00355286
0	cg00355613
0	cg00356811
0	cg00357958
0	cg00358220
0	cg00360761
0	cg00361562
0	cg00362657
0	cg00366413
0	cg00366505
0	cg00366917
0	cg00368989
0	cg00369151
0	cg00369414
0	cg00370047
0	cg00370926
0	cg00375146
0	cg00375430
0	cg00376544
0	cg00378510
0	cg00379080
0	cg00379648
0	cg00380172
0	cg00381442
0	cg00384539
0	cg00386405
0	cg00386702
0	cg00388871
0	cg00390484
0	cg00390694
0	cg00394830
0	cg00400262
0	cg00400370
0	cg00400992
0	cg00401433
0	cg00401552
0	cg00405939
0	cg00406022
0	cg00406211
0	cg00406369
0	cg00409696
0	cg00411010
0	cg00411447
0	cg00411945
0	cg00414384
0	cg00415665
0	cg00416747
0	cg00417421
0	cg00422918
0	cg00423153
0	cg00423702
0	cg00424677
0	cg00426486
0	cg00428457
0	cg00429497
0	cg00430613
0	cg00432041
0	cg00433296
0	cg00433917
0	cg00436174
0	cg00437311
0	cg00437432
0	cg00438215
0	cg00439706
0	cg00439752
0	cg00441899
0	cg00446123
0	cg00447018
0	cg00447052
0	cg00447817
0	cg00447970
0	cg00448707
0	cg00449812
0	cg00450617
0	cg00451058
0	cg00451642
0	cg00452882
0	cg00458927
0	cg00463561
0	cg00463982
0	cg00467592
0	cg00468846
0	cg00469395
0	cg00470007
0	cg00470641
0	cg00472277
0	cg00472445
0	cg00472801
0	cg00473294
0	cg00474734
0	cg00475427
0	cg00476243
0	cg00480356
0	cg00481259
0	cg00482020
0	cg00482162
0	cg00482555
0	cg00482898
0	cg00486611
0	cg00491180
0	cg00491210
0	cg00491607
0	cg00491927
0	cg00493304
0	cg00494761
0	cg00495860
0	cg00496036
0	cg00498024
0	cg00502002
0	cg00502509
0	cg00504457
0	cg00505093
0	cg00505606
0	cg00505936
0	cg00506913
0	cg00507154
0	cg00507414
0	cg00509431
0	cg00509996
0	cg00510330
0	cg00512454
0	cg00513735
0	cg00513981
0	cg00514609
0	cg00514665
0	cg00515457
0	cg00515575
0	cg00516030
0	cg00521048
0	cg00522231
0	cg00523224
0	cg00524561
0	cg00524708
0	cg00525681
0	cg00526336
0	cg00529697
0	cg00532474
0	cg00532492
0	cg00533340
0	cg00534492
0	cg00535576
0	cg00538591
0	cg00539908
0	cg00539976
0	cg00542224
0	cg00543073
0	cg00544449
0	cg00544467
0	cg00546808
0	cg00546936
0	cg00547077
0	cg00547777
0	cg00548296
0	cg00548708
0	cg00549574
0	cg00550498
0	cg00550554
0	cg00552235
0	cg00552753
0	cg00553487
0	cg00557236
0	cg00558215
0	cg00563824
0	cg00564190
0	cg00564737
0	cg00564759
0	cg00565932
0	cg00565991
0	cg00566297
0	cg00569091
0	cg00569276
0	cg00571339
0	cg00573770
0	cg00577182
0	cg00578039
0	cg00579868
0	cg00580836
0	cg00581482
0	cg00581979
0	cg00582524
0	cg00583426
-0.0206664306389929	cg00583861
0	cg00584238
0	cg00584636
0	cg00586527
0	cg00586537
0	cg00590063
0	cg00590260
0	cg00590324
0	cg00591160
0	cg00591781
0	cg00591868
0	cg00591972
0	cg00592643
0	cg00592803
0	cg00593536
0	cg00593900
0	cg00594040
0	cg00594854
0	cg00595212
0	cg00598335
